State,Proportion_Democrat,Proportion_Republican,Proportion_Independent,House_Majority
Alabama,0.14285714285714285,0.8571428571428571,0.0,REP
Alaska,0.0,1.0,0.0,REP
Arizona,0.5555555555555556,0.4444444444444444,0.0,DEM
Arkansas,0.0,1.0,0.0,REP
California,0.7924528301886793,0.20754716981132076,0.0,DEM
Colorado,0.5714285714285714,0.42857142857142855,0.0,DEM
Connecticut,1.0,0.0,0.0,DEM
Delaware,1.0,0.0,0.0,DEM
Florida,0.4074074074074074,0.5925925925925926,0.0,REP
Georgia,0.42857142857142855,0.5714285714285714,0.0,REP
Hawaii,1.0,0.0,0.0,DEM
Idaho,0.0,1.0,0.0,REP
Illinois,0.7222222222222222,0.2777777777777778,0.0,DEM
Indiana,0.2222222222222222,0.7777777777777778,0.0,REP
Iowa,0.25,0.75,0.0,REP
Kansas,0.25,0.75,0.0,REP
Kentucky,0.16666666666666666,0.8333333333333334,0.0,REP
Louisiana,0.16666666666666666,0.8333333333333334,0.0,REP
Maine,1.0,0.0,0.0,DEM
Maryland,0.875,0.125,0.0,DEM
Massachusetts,1.0,0.0,0.0,DEM
Michigan,0.5,0.5,0.0,TIE
Minnesota,0.5,0.5,0.0,TIE
Mississippi,0.25,0.75,0.0,REP
Missouri,0.25,0.75,0.0,REP
Montana,0.0,1.0,0.0,REP
Nebraska,0.0,1.0,0.0,REP
Nevada,0.75,0.25,0.0,DEM
New Hampshire,1.0,0.0,0.0,DEM
New Jersey,0.8333333333333334,0.16666666666666666,0.0,DEM
New Mexico,0.6666666666666666,0.3333333333333333,0.0,DEM
New York,0.7037037037037037,0.2962962962962963,0.0,DEM
None,1.0,0.0,0.0,DEM
North Carolina,0.38461538461538464,0.6153846153846154,0.0,REP
North Dakota,0.0,1.0,0.0,REP
Ohio,0.25,0.75,0.0,REP
Oklahoma,0.0,1.0,0.0,REP
Oregon,0.8,0.2,0.0,DEM
Pennsylvania,0.5,0.5,0.0,TIE
Rhode Island,1.0,0.0,0.0,DEM
South Carolina,0.14285714285714285,0.8571428571428571,0.0,REP
South Dakota,0.0,1.0,0.0,REP
Tennessee,0.2222222222222222,0.7777777777777778,0.0,REP
Texas,0.3611111111111111,0.6388888888888888,0.0,REP
Utah,0.0,1.0,0.0,REP
Vermont,1.0,0.0,0.0,DEM
Virginia,0.6363636363636364,0.36363636363636365,0.0,DEM
Washington,0.7,0.3,0.0,DEM
West Virginia,0.0,1.0,0.0,REP
Wisconsin,0.375,0.625,0.0,REP
Wyoming,0.0,1.0,0.0,REP
