year,United_States,India,China,Russia,U.K.,Saudi_Arabia
1992,599517.8,18651.1,28199.3,43606.3,58399.1,25735.4
1993,567433.7,21065.6,25931.7,38119.6,55731.5,27275.2
1994,537936.3,21159.6,24951.5,36036.0,54198.2,23542.2
1995,502483.3,21793.9,25916.0,23710.3,50834.5,20752.2
1996,475151.0,22189.0,27455.7,22388.0,50348.5,20718.7
1997,472693.0,24562.5,29290.2,24476.2,48560.6,28136.9
1998,462019.5,25626.8,31981.3,14555.8,48719.3,32502.9
1999,463156.5,29782.1,38987.8,16164.5,48459.6,28928.8
2000,481079.6,30731.5,42200.0,21809.6,49435.3,31884.0
2001,484986.8,31801.8,50037.8,23569.7,51393.2,33961.3
2002,544547.5,31703.4,57470.7,26110.3,54448.5,29809.7
2003,619785.0,32411.2,62197.2,27377.7,58325.2,30021.6
2004,675516.2,37648.6,68508.5,28615.5,59049.0,33313.6
2005,706629.7,40066.5,75231.2,32519.0,59601.1,40229.2
2006,716812.0,40391.2,86596.0,35993.6,59874.5,45826.8
2007,735939.3,40879.1,95191.6,39179.0,61504.6,52786.8
2008,789474.3,46367.1,104150.1,43049.0,64197.2,51808.8
2009,851597.6,54590.1,126379.8,45166.5,65225.8,53242.5
2010,875941.8,54809.6,132604.4,46084.7,64129.5,55415.2
2011,865569.7,55340.5,142352.9,49183.3,61961.4,56167.9
2012,817491.8,55143.5,156979.0,56986.3,60240.9,63566.5
2013,754611.3,54737.3,169742.5,59763.5,58038.5,72832.3
2014,708193.6,57573.0,183291.4,64049.9,57000.8,85846.7
2015,692111.5,57590.0,197680.5,69032.9,54809.6,91570.1
2016,689987.7,63467.8,209060.1,74006.2,54618.5,65519.2
2017,682878.4,67938.7,221917.6,59968.8,54254.4,73053.8
2018,703431.3,70901.5,234916.7,57709.3,54979.4,75567.3
2019,743402.9,75248.7,246361.2,60296.0,57713.2,67614.7
2020,778397.2,72937.1,257973.4,61712.5,60675.0,64558.4
2021,767780.1,73574.7,270016.6,63485.1,62489.3,53759.1
